wave	rownum	serial	area	lr8dist	lr8mes	lr7dist	lr7mes	lr6dist	lr6mes	lr5dist	lr5mes	lr4dist	lr4mes	lr3dist	lr3mes	lr2dist	lr2mes	lr1dist	lr1mes	ll1mes	ll1dist	ll2mes	ll2dist	ll3mes	ll3dist	ll4mes	ll4dist	ll5mes	ll5dist	ll6mes	ll6dist	ll7mes	ll7dist	ll8mes	ll8dist
1	36	51154C	64	-	-	-	-	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	-	0	0	0	0	1	0	-	-	-	-	-	-
1	36	51155D	64	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51156E	64	0	0	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	-	-	-	-	-	-
1	36	51158G	64	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51159H	64	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51160J	64	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51161K	64	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51162L	64	1	1	1	1	2	1	-	-	-	-	1	1	-	-	-	-	-	-	-	-	0	1	1	1	1	0	-	-	-	-	-	-
1	36	51163M	64	-	-	-	-	-	-	-	-	-	-	0	1	0	0	0	1	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
1	36	51164N	64	-	-	-	-	0	0	-	-	1	0	-	-	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	-	-	-	-
1	36	51165P	64	9	9	0	1	0	0	-	-	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	-	-	0	1	1	1	1	1
1	36	51166Q	64	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	-	-	-	-	1	0	-	-
1	36	51167R	64	-	-	0	0	-	-	-	-	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	-	-	-	-	-	-
1	36	51168S	65	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51169T	65	-	-	-	-	-	-	-	-	1	1	1	1	1	2	-	-	-	-	-	-	1	1	2	2	-	-	-	-	-	-	-	-
1	36	51170V	65	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51171W	65	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	36	51172X	65	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51173Y	65	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51174Z	65	-	-	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	-	-
1	36	51175A	65	-	-	-	-	0	0	-	-	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	-	-	-	-	-	-	3	3
