wave	rownum	serial	area	lr7	lr6	lr5	lr4	lr3	lr2	lr1	ll1	ll2	ll3	ll4	ll5	ll6	ll7
2	29	61022D	10	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61023E	10	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61025G	10	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61026H	10	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61027J	10	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61028K	10	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61029L	10	1	1	0	1	0	0	0	0	0	0	0	0	1	0
2	29	61030M	10	1	1	0	0	0	0	0	0	0	0	0	1	1	1
2	29	61031N	15	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61032P	15	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61033Q	15	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61034R	15	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61035S	15	2	2	2	2	2	0	0	0	0	0	2	2	2	2
2	29	61036T	15	1	1	1	0	0	0	0	0	0	0	0	1	1	0
2	29	61037V	15	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61038W	15	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61039X	15	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	29	61040Y	15	2	2	2	0	0	0	0	0	0	0	0	2	2	2
2	29	61041Z	18	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61042A	18	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61043B	18	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61044C	18	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61045D	18	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61047F	18	2	2	2	2	0	0	2	0	2	0	0	2	2	2
2	29	61049H	18	0	1	0	0	0	0	0	0	0	0	0	1	1	1
2	29	61050J	18	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61051K	18	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61052L	18	1	2	2	0	0	2	2	0	0	0	0	2	2	2
2	29	61053M	23	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61054N	23	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61056Q	23	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61057R	23	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61058S	23	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61059T	23	0	1	1	0	0	0	0	0	0	0	0	0	0	1
2	29	61061W	23	1	1	0	0	0	0	0	0	0	0	0	1	0	1
2	29	61063Y	26	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61064Z	26	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61067C	26	1	0	2	0	0	0	0	0	0	0	0	0	0	0
2	29	61068D	26	1	1	1	1	0	0	0	0	0	0	1	1	1	1
2	29	61069E	26	1	1	1	1	0	0	1	1	0	0	1	1	1	1
2	29	61070F	26	1	1	1	0	0	0	0	0	0	0	0	1	1	0
2	29	61071G	26	0	2	2	0	0	0	0	0	0	0	0	2	2	0
